Area_Name,class
Lake Cunningham RP,
Masvingo CL,Communal Land
Matsai CL,Communal Land
Save Valley ICA,Intensive Conservation Area
Wenlock CL,Communal Land
Ungova SSCFA,Small-Scale Commercial Farm Area
Insiza CL,Communal Land
Manjirenji RP,
Nyajena CL,Communal Land
Matopos South ICA,Intensive Conservation Area
Godhlwayo SSCFA,Small-Scale Commercial Farm Area
Silalabuhwa Dam,
Makwe CL,Communal Land
Maribeha CL,Communal Land
Tuli SSCFA,Small-Scale Commercial Farm Area
Limpopo ICA,Intensive Conservation Area
Dendele CL,Communal Land
Siyoka CL,Communal Land
Chewore SA,Safari Area
Muzarabani CL,Communal Land
Mukumbura East CL,Communal Land
Masoso West CL,Communal Land
Masoso East CL,Communal Land
Hurungwe SA,Safari Area
Vuti ICA,Intensive Conservation Area
Charara SA,Safari Area
Hurungwe SA,Safari Area
KARIBA,
Gatshe Gatshe CL,Communal Land
Ngarwe CL,Communal Land
Matusadona NP,National Park
Lake Kariba,
Siabuwa CL,Communal Land
Chikwizo CL,Communal Land
Lake Kariba,
Sijarira FA,
Lake Kariba,
Manjolo CL,Communal Land
Binga SL,State Land
Nyamaropa CL,Communal Land
Kavira FL,Forest Land
Matetsi ICA,Intensive Conservation Area
Hwange CL,Communal Land
Mvutu FL,Forest Land
Victoria Falls AP,
VICTORIA FALLS,
Victoria Falls NP,National Park
Msuna SL,State Land
Matetsi ICA,Intensive Conservation Area
Fuller FL,Forest Land
Nyanga NP,National Park
Nyanga ICA,Intensive Conservation Area
Nyanga Tea Estates I,
Manga CL,Communal Land
Mutasa North CL,Communal Land
Mutare North ICA,Intensive Conservation Area
Lupane CL,Communal Land
Mutare (Rural),
MUTARE,
Mutare South ICA,Intensive Conservation Area
Tsholotsho CL,Communal Land
Cashel ICA,Intensive Conservation Area
Mudima FL,Forest Land
Chimanimani NP,National Park
Chimanimani NP,National Park
Martin (1) FL,Forest Land
Martin (2) FL,Forest Land
Melsetter Eland SC,
Maitengwe CL,Communal Land
Mpimbila CL,Communal Land
Lionhills FL,Forest Land
Chisengu FL,Forest Land
Ngorima CL,Communal Land
Save SSCFA,Small-Scale Commercial Farm Area
Plumtree ICA,Intensive Conservation Area
Tamandayi CL,Communal Land
Gungunyani FL,Forest Land
Chirinda FL,Forest Land
Chinyaduma SSCFA,Small-Scale Commercial Farm Area
Tshatshani CL,Communal Land
Ndowoyo CL,Communal Land
Save SSCFA,Small-Scale Commercial Farm Area
Ingwezi CL,Communal Land
Save SSCFA,Small-Scale Commercial Farm Area
Sangwe CL,Communal Land
Save SSCFA,Small-Scale Commercial Farm Area
Ramakwebane SSCFA,Small-Scale Commercial Farm Area
Gwanda CL,Communal Land
Mbongolo CL,Communal Land
Matopos South ICA,Intensive Conservation Area
Limpopo ICA,Intensive Conservation Area
Kapen ICA,Intensive Conservation Area
Matibi II CL,Communal Land
Sengwe CL,Communal Land
Mtetengwe CL,Communal Land
Diti CL,Communal Land
Maramani CL,Communal Land
Beitbridge SL,State Land
Sapi SA,Safari Area
Binga SL,State Land
Msuna SL,State Land
Mwenezi ICA,Intensive Conservation Area
Mana Pools NP,National Park
Mukumbura West CL,Communal Land
Mkota CL,Communal Land
Nata CL,Communal Land
Doma ICA,Intensive Conservation Area
Mvurwi ICA,Intensive Conservation Area
Bushu CL,Communal Land
Gokwe CL,Communal Land
Mupfure ICA,Intensive Conservation Area
Nyanga ICA,Intensive Conservation Area
Svosve CL,Communal Land
KADOMA,
Tsungwesi ICA,Intensive Conservation Area
Sikumi Pvt Game Res,
KWEKWE,
Zviyambe SSCFA,Small-Scale Commercial Farm Area
Gweru ICA,Intensive Conservation Area
Silobela SSCFA/ICA,Small-Scale Commercial Farm Area
Mukuni SSCFA,Small-Scale Commercial Farm Area
Serima CL,Communal Land
Gwayi FL,Forest Land
Upper Ngezi ICA,Intensive Conservation Area
Chirumanzi CL,Communal Land
Jobolinko SSCFA,Small-Scale Commercial Farm Area
Lower Kahmi,
Nyahunda SSCFA,Small-Scale Commercial Farm Area
MASVINGO,
Mazare SSCFA,Small-Scale Commercial Farm Area
Bulawayo (Rural),
Mushandike SC,
Jenya SSCFA,Small-Scale Commercial Farm Area
Jenya SSCFA,Small-Scale Commercial Farm Area
Chivi Mission,
Mshandike ICA,Intensive Conservation Area
Matibi I CL,Communal Land
Gwaranyemba CL,Communal Land
Chiredzi ICA,Intensive Conservation Area
Chiswiti CL,Communal Land
Charara SA,Safari Area
Masoso SL,State Land
Chimanda CL,Communal Land
Budja SSCFA,Small-Scale Commercial Farm Area
Chete SA,Safari Area
HWANGE,
Erin FL,Forest Land
York FL,Forest Land
Deka SA,Safari Area
Kukwanisa SSCFA,Small-Scale Commercial Farm Area
CHIPINGE,
Shashani Estate ICA,Intensive Conservation Area
Save SSCFA,Small-Scale Commercial Farm Area
Save SSCFA,Small-Scale Commercial Farm Area
Seear Block CL,Communal Land
Gonakudzingwa SSCFA,Small-Scale Commercial Farm Area
State Land,
Tanda SSCFA,Small-Scale Commercial Farm Area
CHEGUTU,
RUSAPE,Safari Area
Tsonzo SSCFA,Small-Scale Commercial Farm Area
GWERU,
Muromo CL,Communal Land
Inseze Ext FL,Forest Land
Dewure SSCFA,Small-Scale Commercial Farm Area
Masvingo Central ICA,Intensive Conservation Area
ZVISHAVANE,
Mazvihwa CL,Communal Land
Umzingwane Dam,
Bumi Hills SL,State Land
Stapleford FL,Forest Land
Semukwe CL,Communal Land
Save SSCFA,Small-Scale Commercial Farm Area
Save SSCFA,Small-Scale Commercial Farm Area
Shashi CL,Communal Land
Lake Kariba,
Lake Kariba,
Lake Kariba,
Lake Kariba,
Lake Kariba,
Lake Kariba,
Lake Kariba,
